sentence1	sentence2	simalarty
"Derzeit befindet sich <Entity>Abdirahman J. (24</Entity>) noch in Untersuchungshaft in einem Gefängnis in
Würzburg."	"Messer-Killer von Würzburg
kommt in die Psychiatrie
<Entity>Abdirahman J. (24</Entity>) wird nach der Bluttat von einem Beamten am Boden fixiert"	1
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
Der damalige Komplize, <Entity>Mohamed M. (33</Entity>), behauptete in seinem Prozess, er sei bereits nach der Fesselung geflüchtet, habe mit der Sex-Tat nichts zu tun.	"Feiger Sex-Gangster und

Komplize vor Gericht

<Entity>Mestafa B. (17</Entity>, li.) wird in Handschellen ins Gericht geführt."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	0
"Er soll am 6. September 2020 den Hochleitungsbau-Monteur Stefan T. (44) aus <Entity>Lichtenberg</Entity>
getötet haben."	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer Stefan R. (41) aus <Entity>Pankow</Entity> einen Sexualmord aus niedrigen
Beweggründen vor."	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
Auf dem Dach hatten sie ein Blaulicht angebracht. Täuschend echt, so die wahre <Entity>Polizei</Entity>.	Felix B. in Schutzkleidung der <Entity>Berliner Polizei</Entity>	0.8
Al-Zeins wohnen weiterhin in der <Entity>Villa</Entity>	Einer der Söhne wurde aus der <Entity>Villa</Entity> geführt	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	0
"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	0
"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem <Entity>Islamischen Staat</Entity> an."	"In Syrien soll sie ein ranghohes Mitglied des <Entity>ISIS</Entity>-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	1
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	0
Auf dem Dach hatten sie ein Blaulicht angebracht. Täuschend echt, so die wahre <Entity>Polizei</Entity>.	"Seit gestern stehen die beiden inzwischen wegen psychischer Probleme frühpensionierten
Polizisten aus Hamburg und Berlin deshalb vor dem <Entity>Landgericht Bamberg</Entity>."	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	1
"Aber nicht Felix B.
(31) und sein Kollege <Entity>David S. (31</Entity>)!"	„Es ging uns um den Kick“, begründet <Entity>David S. (31</Entity>) die Überfälle	1
"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	0
"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	0
"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
<Entity>Aberrahmane M. (24</Entity>) steht wegen Überfalls und körperlicher Misshandlung einer Seniorin (72) vor Gericht	<Entity>Mohamed M. (33</Entity>, li.) soll der Komplize vom Überfall auf die ältere Seniorin (93) gewesen sein.	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0
<Entity>Badia Al-Zein</Entity>, seine beiden Söhne und seine Frau wurden verhaftet.	"Der Haupt-Tatverdächtige Badia Al-Zein und sein älterer Sohn <Entity>Sehmus (28</Entity>) sitzen weiter
in U-Haft."	0
"Der Messerstecher von <Entity>Würzburg</Entity> soll nach dpa-Informationen in einer
Psychiatrie untergebracht werden."	"Messer-Killer von <Entity>Würzburg</Entity>
kommt in die Psychiatrie
Abdirahman J. (24) wird nach der Bluttat von einem Beamten am Boden fixiert"	1
"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0.2
"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"<Entity>B</Entity>. hatte sich blutüberströmt aus seiner Wohnung auf die Straße schleppen können und ein
paar Hauseingänge weiter bei Nachbarn geklingelt."	Messer-Opfer <Entity>Balazs B. (33</Entity>) im Krankenbett, ein Bekannter machte das Foto von ihm	1
Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	0
"Im Jahr 2017 hatte der 53-jährige <Entity>Werner M</Entity>. in Berlin-Pankow seinen
Nachbar Christian N. (68) mit einem Hammer erschlagen und die Leiche teilweise zerteilt."	"Im Jahr 2017 hatte der 53-jährige Werner M. in Berlin-Pankow seinen
Nachbar <Entity>Christian N. (68</Entity>) mit einem Hammer erschlagen und die Leiche teilweise zerteilt."	0
"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	1
"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	0
Bluttat in <Entity>M‘Gladbach</Entity>!	"Er war Ende Juni
blutüberströmt und lebensgefährlich verletzt nachts auf einem <Entity>Feldweg in Mönchengladbach</Entity>
aufgefunden worden."	0.2
"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0.3
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
<Entity>Leonora M</Entity>. mit ihrer Tochter in Syrien	"Generalbundesanwalt klagt
ISIS-Braut <Entity>Leonora M</Entity>. an"	1
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	0
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
Seit Ende Mai sitzt <Entity>Halil G</Entity>. in U-Haft.	"Trotzdem verlässt <Entity>Halil G. (41</Entity>) als freier Mann die
Untersuchungshaft"	1
"Er soll am 6. September 2020 den Hochleitungsbau-Monteur <Entity>Stefan T. (44</Entity>) aus Lichtenberg
getötet haben."	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer <Entity>Stefan R. (41</Entity>) aus Pankow einen Sexualmord aus niedrigen
Beweggründen vor."	0
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	1
Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	0
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	0
"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
"<Entity>Julius Everling</Entity> begründet: „Ich gebe Ihnen die
Chance, sich selbst zu stellen zur Strafverbüßung.“"	"Trotzdem verlässt <Entity>Halil G. (41</Entity>) als freier Mann die
Untersuchungshaft"	0
"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	1
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes <Entity>Gewölbe</Entity> Dresden)."	"Er ist so schwerkriminell, dass er seit der letzten Haftentlassung im Februar 2018 eine
elektronische Fußfessel tragen muss (passiert selten in <Entity>Deutschland</Entity>)."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
Bluttat in <Entity>M‘Gladbach</Entity>!	Die Polizei spürte Alex S. (32) in einer Wohnung <Entity>in Mönchengladbach</Entity> auf	0.5
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	1
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Ein Bekannter des ungarischen Opfers berichtete BILD im Mai: „Die Beiden sollen sich über
ein Dating-Portal kennengelernt haben. <Entity>Balasz</Entity> trug gern Frauenkleider, ist ein
Transvestit.“"	Messer-Opfer <Entity>Balazs B. (33</Entity>) im Krankenbett, ein Bekannter machte das Foto von ihm	1
<Entity>Aberrahmane M. (24</Entity>) steht wegen Überfalls und körperlicher Misshandlung einer Seniorin (72) vor Gericht	Dort entkleidete <Entity>Mestafa B</Entity>. den Unterleib der gefesselten Seniorin und versuchte, sie vergewaltigen.	0
"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	0
Der 7. November 2020, <Entity>Bahnhof Gesundbrunnen (Wedding</Entity>).	"Polizei sucht Spione  
aus dem Grünen <Entity>Gewölbe</Entity>"	0
"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	0
Auf dem Dach hatten sie ein Blaulicht angebracht. Täuschend echt, so die wahre <Entity>Polizei</Entity>.	"Die inzwischen frühpensionierten Polizisten rasten rückwärts in das Schaufenster dieses <Entity>Bamberger
Juweliers</Entity>"	0
"<Entity>Julius Everling</Entity> begründet: „Ich gebe Ihnen die
Chance, sich selbst zu stellen zur Strafverbüßung.“"	"Im 7er BMW raste <Entity>Halil G. (41</Entity>) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Die Tat: Bei einer Probefahrt am 15. Januar dieses Jahres waren die Männer mit einem BMW
rückwärts ins Schaufenster eines <Entity>Bamberger Juweliers</Entity> gedonnert."	"Seit gestern stehen die beiden inzwischen wegen psychischer Probleme frühpensionierten
Polizisten aus Hamburg und Berlin deshalb vor dem <Entity>Landgericht Bamberg</Entity>."	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0
"Blutüberströmt schleppte sich das Opfer noch aus dem Hausflur, mehrfach war
auf den Ungarn <Entity>Balazs B. (33</Entity>) eingestochen worden."	Messer-Opfer <Entity>Balazs B. (33</Entity>) im Krankenbett, ein Bekannter machte das Foto von ihm	1
"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	1
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	1
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
"<Entity>Edith Blum</Entity> an
den schweren Schädelverletzungen und an Unterkühlung."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen <Entity>Edith Blum
(63</Entity>) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	1
"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	1
<Entity>Leonora M</Entity>. mit ihrer Tochter in Syrien	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: <Entity>Martin
Lemke (30</Entity>) aus Zeitz (Burgenlandkreis)."	0
"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	0
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	1
"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	1
"<Entity>B</Entity>. hatte sich blutüberströmt aus seiner Wohnung auf die Straße schleppen können und ein
paar Hauseingänge weiter bei Nachbarn geklingelt."	"Blutüberströmt schleppte sich das Opfer noch aus dem Hausflur, mehrfach war
auf den Ungarn <Entity>Balazs B. (33</Entity>) eingestochen worden."	1
Auf der Anklagebank: Aberrahmane M. (24) aus <Entity>Tunesien</Entity> und Mestafa B. (17) aus Algerien.	Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und Mestafa B. (17) aus <Entity>Algerien</Entity>.	0
"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	0
"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	1
"Im 7er BMW raste <Entity>Halil G. (41</Entity>) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Trotzdem verlässt <Entity>Halil G. (41</Entity>) als freier Mann die
Untersuchungshaft"	1
"Der Torso des Monteurs wurde am 23. November 2020 in einer <Entity>Pankower Grünanlage</Entity>
gefunden."	"Die Leiche des Opfers soll der Deutsche anschließend noch in seiner Wohnung zerteilt und
die Leichenteile an verschiedenen Orten <Entity>in Berlin</Entity> abgelegt haben."	0
Auf der Anklagebank: <Entity>Aberrahmane M. (24</Entity>) aus Tunesien und Mestafa B. (17) aus Algerien.	"Feiger Sex-Gangster und

Komplize vor Gericht

<Entity>Mestafa B. (17</Entity>, li.) wird in Handschellen ins Gericht geführt."	0
Das berichtet die in Halle erscheinende <Entity>Mitteldeutsche Zeitung</Entity> (Mittwochsausgabe).	"In Syrien soll sie ein ranghohes Mitglied des <Entity>ISIS</Entity>-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	0
"Er ist so schwerkriminell, dass er seit der letzten Haftentlassung im Februar 2018 eine
elektronische Fußfessel tragen muss (passiert selten in <Entity>Deutschland</Entity>)."	"Polizei sucht Spione  
aus dem Grünen <Entity>Gewölbe</Entity>"	0
Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	1
Dort entkleidete <Entity>Mestafa B</Entity>. den Unterleib der gefesselten Seniorin und versuchte, sie vergewaltigen.	"Feiger Sex-Gangster und

Komplize vor Gericht

<Entity>Mestafa B. (17</Entity>, li.) wird in Handschellen ins Gericht geführt."	1
Auf der Anklagebank: <Entity>Aberrahmane M. (24</Entity>) aus Tunesien und Mestafa B. (17) aus Algerien.	Der damalige Komplize, <Entity>Mohamed M. (33</Entity>), behauptete in seinem Prozess, er sei bereits nach der Fesselung geflüchtet, habe mit der Sex-Tat nichts zu tun.	0
Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
"Der 24-Jährige wurde 2015 in <Entity>Deutschland</Entity> erstmals
registriert."	"Der Somalier hatte am 25. Juni in der <Entity>Würzburger Innenstadt</Entity> auf ihm offensichtlich
unbekannte Menschen eingestochen."	0
